Date,Price,Open,High,Low,Vol.,Change %
9/2/2009,41.0,41.0,41.75,41.0,24.70K,0.00%
9/3/2009,41.25,42.0,42.0,40.5,181.40K,0.61%
9/7/2009,42.0,41.5,42.5,41.5,73.60K,1.82%
9/8/2009,43.75,42.0,44.75,41.75,114.30K,4.17%
9/9/2009,44.0,43.75,45.0,43.5,81.00K,0.57%
9/10/2009,44.25,44.75,45.0,43.5,63.10K,0.57%
9/11/2009,45.25,44.25,46.0,44.25,114.60K,2.26%
9/14/2009,45.25,44.75,45.75,44.5,167.40K,0.00%
9/15/2009,45.0,45.75,46.0,43.75,57.50K,-0.55%
9/16/2009,45.5,42.0,46.5,42.0,206.50K,1.11%
9/17/2009,47.0,46.25,47.25,46.0,143.30K,3.30%
9/18/2009,46.0,47.0,47.0,44.5,5.00K,-2.13%
9/22/2009,44.0,45.0,46.0,43.25,7.60K,-4.35%
9/23/2009,44.0,43.75,45.0,43.75,127.20K,0.00%
9/24/2009,44.0,43.5,44.75,43.5,8.20K,0.00%
9/25/2009,43.75,44.5,44.5,43.25,23.80K,-0.57%
9/28/2009,44.25,44.5,44.5,44.0,10.40K,1.14%
9/29/2009,44.75,44.0,45.0,44.0,43.30K,1.13%
9/30/2009,44.75,45.0,45.75,44.0,88.60K,0.00%
10/1/2009,45.5,45.0,46.0,44.75,144.00K,1.68%
10/2/2009,45.0,45.0,45.5,44.5,40.30K,-1.10%
10/5/2009,46.25,45.5,47.0,45.25,388.00K,2.78%
10/6/2009,46.0,47.0,47.0,45.5,108.30K,-0.54%
10/7/2009,45.75,46.0,47.0,45.0,120.50K,-0.54%
10/8/2009,47.0,45.0,47.25,45.0,346.60K,2.73%
10/9/2009,47.5,46.5,48.0,46.5,179.60K,1.06%
10/12/2009,48.0,46.75,48.0,46.75,68.00K,1.05%
10/13/2009,47.0,48.0,48.0,46.75,30.30K,-2.08%
10/14/2009,46.0,47.5,47.5,46.0,32.00K,-2.13%
10/15/2009,45.75,46.5,46.5,45.5,10.10K,-0.54%
10/16/2009,46.0,45.5,47.0,45.25,4.00K,0.55%
10/19/2009,45.0,45.5,46.0,43.0,46.80K,-2.17%
10/20/2009,44.25,44.25,45.0,43.0,18.40K,-1.67%
10/21/2009,45.0,42.25,45.0,41.5,31.10K,1.69%
10/22/2009,44.0,43.25,45.0,43.25,21.70K,-2.22%
10/23/2009,46.0,44.75,46.0,44.75,29.20K,4.55%
10/26/2009,45.0,46.0,46.75,44.25,84.20K,-2.17%
10/27/2009,44.0,45.5,45.5,44.0,6.90K,-2.22%
10/28/2009,44.75,45.0,45.0,44.25,33.80K,1.70%
10/29/2009,44.0,44.5,44.5,44.0,16.50K,-1.68%
10/30/2009,43.75,44.0,44.0,43.75,39.00K,-0.57%
11/3/2009,44.0,43.5,44.5,43.5,5.50K,0.57%
11/4/2009,43.25,43.5,43.5,43.0,73.20K,-1.70%
11/5/2009,42.5,43.0,43.0,41.5,34.10K,-1.73%
11/6/2009,43.0,42.0,43.25,42.0,77.80K,1.18%
11/9/2009,42.75,43.0,43.5,42.0,22.80K,-0.58%
11/10/2009,41.5,42.0,43.0,41.5,41.70K,-2.92%
11/11/2009,41.25,41.5,42.0,41.0,25.70K,-0.60%
11/12/2009,43.75,42.25,44.0,42.25,19.90K,6.06%
11/13/2009,43.5,43.0,44.0,42.5,18.90K,-0.57%
11/16/2009,43.0,43.0,43.5,43.0,0.90K,-1.15%
11/17/2009,43.0,42.5,43.5,42.25,26.10K,0.00%
11/18/2009,42.5,42.5,42.5,42.5,8.60K,-1.16%
11/19/2009,42.25,42.0,42.5,42.0,5.80K,-0.59%
11/20/2009,41.25,42.0,42.25,41.25,16.50K,-2.37%
11/23/2009,41.75,41.25,42.0,41.0,7.70K,1.21%
11/24/2009,40.5,41.75,42.0,40.5,34.70K,-2.99%
11/25/2009,40.0,40.5,41.0,39.5,19.80K,-1.23%
11/26/2009,39.75,40.0,40.0,39.75,15.00K,-0.63%
11/27/2009,40.0,40.0,40.0,39.5,16.60K,0.63%
11/30/2009,41.25,40.5,42.0,40.25,8.20K,3.13%
12/2/2009,41.5,41.0,42.0,41.0,20.20K,0.61%
12/3/2009,42.25,42.0,43.0,42.0,47.30K,1.81%
12/4/2009,42.0,42.5,42.5,40.0,7.50K,-0.59%
12/7/2009,42.75,42.0,43.5,42.0,34.70K,1.79%
12/8/2009,43.25,42.0,44.0,42.0,25.60K,1.17%
12/9/2009,43.0,43.0,43.5,43.0,4.50K,-0.58%
12/10/2009,43.5,43.5,44.0,42.75,62.60K,1.16%
12/11/2009,43.5,44.0,44.0,43.25,3.20K,0.00%
12/14/2009,43.5,44.0,44.0,42.0,10.50K,0.00%
12/15/2009,44.0,41.5,44.75,41.5,42.10K,1.15%
12/16/2009,44.25,44.5,44.5,43.0,7.70K,0.57%
12/17/2009,44.75,44.5,45.0,44.25,17.10K,1.13%
12/18/2009,44.0,45.0,45.0,43.25,6.70K,-1.68%
12/21/2009,44.0,44.0,44.75,43.5,43.70K,0.00%
12/22/2009,45.0,44.75,46.0,44.0,83.40K,2.27%
12/23/2009,45.0,45.0,46.5,44.0,96.00K,0.00%
12/24/2009,45.75,45.75,47.0,45.25,117.50K,1.67%
12/28/2009,46.5,46.75,47.0,46.5,32.60K,1.64%
12/29/2009,46.0,46.75,46.75,44.25,3.60K,-1.08%
12/30/2009,46.0,46.0,46.0,46.0,,0.00%
1/4/2010,45.0,46.0,46.5,44.5,28.10K,-2.17%
1/5/2010,44.0,45.5,45.5,44.0,25.10K,-2.22%
1/6/2010,43.25,43.5,44.0,43.0,27.10K,-1.70%
1/7/2010,43.0,43.0,44.0,42.0,39.10K,-0.58%
1/8/2010,43.0,43.25,43.75,43.0,6.00K,0.00%
1/11/2010,43.5,43.0,43.75,43.0,10.70K,1.16%
1/12/2010,42.5,43.0,43.0,42.5,9.90K,-2.30%
1/13/2010,42.25,42.25,43.5,42.25,35.20K,-0.59%
1/15/2010,43.0,42.5,43.75,42.5,46.00K,1.78%
1/18/2010,41.5,43.0,43.5,41.5,171.30K,-3.49%
1/19/2010,41.75,42.5,42.5,41.5,15.30K,0.60%
1/20/2010,43.0,41.5,43.0,41.5,44.90K,2.99%
1/21/2010,42.75,41.5,43.0,41.25,16.30K,-0.58%
1/22/2010,43.0,42.0,43.5,41.75,73.50K,0.58%
1/25/2010,43.0,43.5,43.5,42.25,21.80K,0.00%
1/26/2010,42.75,43.5,43.5,42.0,8.40K,-0.58%
1/28/2010,42.0,41.5,43.0,41.5,6.30K,-1.75%
2/1/2010,42.0,42.25,43.5,42.0,127.70K,0.00%
2/2/2010,42.0,42.0,43.5,41.75,52.80K,0.00%
2/3/2010,42.5,43.0,43.5,42.25,17.10K,1.19%
2/5/2010,42.25,42.25,42.5,41.75,47.40K,-0.59%
2/8/2010,42.75,42.75,43.25,42.0,43.50K,1.18%
2/9/2010,42.25,43.25,43.5,41.75,26.00K,-1.17%
2/10/2010,41.25,43.0,43.0,41.0,28.10K,-2.37%
2/11/2010,41.0,41.5,41.75,40.5,13.90K,-0.61%
2/12/2010,41.75,41.0,42.0,40.5,8.80K,1.83%
2/15/2010,41.5,42.0,42.0,40.5,10.60K,-0.60%
2/16/2010,40.25,42.0,42.0,40.25,21.30K,-3.01%
2/17/2010,40.0,40.0,41.0,40.0,108.70K,-0.62%
2/18/2010,40.5,40.0,41.0,40.0,9.80K,1.25%
2/19/2010,40.0,40.5,41.0,40.0,17.50K,-1.23%
2/22/2010,40.0,40.25,40.5,40.0,38.60K,0.00%
2/23/2010,40.0,40.0,40.0,39.75,89.30K,0.00%
2/24/2010,39.5,39.75,39.75,39.25,11.90K,-1.25%
2/25/2010,38.75,39.25,39.5,38.5,30.20K,-1.90%
2/26/2010,39.5,39.75,39.75,39.5,4.50K,1.94%
3/1/2010,38.5,39.25,39.75,38.25,36.20K,-2.53%
3/2/2010,38.0,38.5,38.5,37.5,70.60K,-1.30%
3/3/2010,36.5,38.0,38.0,36.25,51.10K,-3.95%
3/4/2010,38.0,36.5,38.5,36.5,214.00K,4.11%
3/5/2010,37.25,38.5,38.5,37.0,44.50K,-1.97%
3/8/2010,37.5,38.0,38.0,37.25,22.00K,0.67%
3/9/2010,37.0,37.5,37.5,37.0,21.20K,-1.33%
3/10/2010,36.5,36.75,37.0,36.5,10.60K,-1.35%
3/11/2010,37.25,36.5,37.25,36.5,62.10K,2.05%
3/12/2010,37.75,37.5,38.25,37.5,28.00K,1.34%
3/15/2010,37.75,38.0,39.0,37.5,13.90K,0.00%
3/16/2010,36.75,37.25,37.25,36.5,17.70K,-2.65%
3/17/2010,36.25,37.0,37.0,36.0,33.40K,-1.36%
3/18/2010,36.5,36.5,37.0,36.0,31.00K,0.69%
3/19/2010,36.0,37.0,37.0,36.0,20.10K,-1.37%
3/22/2010,36.5,37.0,37.0,36.0,19.30K,1.39%
3/23/2010,36.0,36.75,37.75,36.0,54.80K,-1.37%
3/24/2010,36.0,36.5,36.5,36.0,7.70K,0.00%
3/25/2010,36.0,36.25,36.5,36.0,10.10K,0.00%
3/26/2010,36.25,36.25,36.5,36.25,10.40K,0.69%
3/30/2010,37.0,36.25,37.0,36.25,7.20K,2.07%
3/31/2010,36.25,36.25,36.5,36.25,7.00K,-2.03%
4/1/2010,36.25,36.25,36.5,36.0,13.70K,0.00%
4/5/2010,37.0,36.25,37.0,36.25,7.20K,2.07%
4/6/2010,37.75,36.75,38.75,36.75,29.40K,2.03%
4/7/2010,38.0,37.75,39.0,37.75,16.10K,0.66%
4/8/2010,37.75,37.75,38.0,37.5,20.60K,-0.66%
4/12/2010,37.75,37.75,39.5,37.75,55.40K,0.00%
4/15/2010,38.0,39.0,39.0,38.0,9.20K,0.66%
4/16/2010,38.0,38.0,38.5,37.75,13.20K,0.00%
4/19/2010,38.0,38.5,39.5,37.75,19.80K,0.00%
4/20/2010,38.0,38.0,38.25,37.0,296.50K,0.00%
4/21/2010,37.0,38.0,38.0,36.75,52.70K,-2.63%
4/22/2010,36.5,36.75,37.75,36.5,25.50K,-1.35%
4/23/2010,36.5,36.5,36.5,36.25,25.30K,0.00%
4/26/2010,36.75,36.5,38.0,36.5,33.80K,0.68%
4/27/2010,37.0,37.0,37.5,37.0,17.60K,0.68%
4/29/2010,37.0,37.0,38.25,37.0,133.00K,0.00%
4/30/2010,37.0,37.5,38.0,36.75,7.60K,0.00%
5/3/2010,36.5,37.0,37.5,36.5,53.10K,-1.35%
5/4/2010,37.0,36.5,38.0,36.0,374.60K,1.37%
5/5/2010,38.0,37.5,39.0,37.5,86.60K,2.70%
5/6/2010,37.75,38.25,38.75,37.75,243.10K,-0.66%
5/7/2010,37.5,38.0,38.5,37.5,211.00K,-0.66%
5/11/2010,36.5,37.25,38.0,36.0,1.74M,-2.67%
5/12/2010,38.0,37.0,38.5,37.0,626.90K,4.11%
5/13/2010,38.0,38.0,39.0,38.0,263.40K,0.00%
5/14/2010,37.0,38.75,38.75,37.0,229.20K,-2.63%
5/17/2010,38.0,38.0,38.5,38.0,23.30K,2.70%
5/18/2010,38.5,38.5,38.5,38.0,98.10K,1.32%
5/19/2010,37.5,38.5,39.0,37.5,103.10K,-2.60%
5/20/2010,37.5,37.5,38.0,37.25,17.40K,0.00%
5/21/2010,37.0,37.25,37.25,37.0,57.80K,-1.33%
5/24/2010,37.25,37.0,37.5,37.0,2.80K,0.68%
5/25/2010,36.75,36.75,36.75,36.75,3.20K,-1.34%
5/26/2010,37.0,36.75,37.25,36.0,21.60K,0.68%
5/31/2010,36.5,37.0,37.25,36.0,1.00K,-1.35%
6/1/2010,36.5,37.0,37.0,36.0,1.80K,0.00%
6/2/2010,36.5,36.5,36.75,36.0,53.70K,0.00%
6/3/2010,36.5,36.0,37.0,36.0,260.60K,0.00%
6/4/2010,36.5,36.75,37.0,36.0,514.80K,0.00%
6/7/2010,37.0,37.75,38.0,36.0,42.70K,1.37%
6/8/2010,37.0,38.0,38.0,36.5,140.10K,0.00%
6/9/2010,37.5,37.75,37.75,37.0,4.00K,1.35%
6/10/2010,37.75,37.5,38.0,37.25,61.70K,0.67%
6/11/2010,37.75,38.0,38.75,36.5,30.20K,0.00%
6/14/2010,38.0,38.0,38.5,37.5,42.80K,0.66%
6/15/2010,38.25,38.5,38.75,38.0,22.70K,0.66%
6/16/2010,37.25,38.25,38.75,37.0,83.20K,-2.61%
6/17/2010,37.75,38.0,38.5,37.25,19.60K,1.34%
6/21/2010,38.0,37.25,38.5,37.25,222.30K,0.66%
6/22/2010,38.0,38.0,38.5,37.75,127.80K,0.00%
6/23/2010,36.5,37.5,37.75,36.5,32.70K,-3.95%
6/24/2010,36.5,36.5,38.0,36.25,21.60K,0.00%
6/28/2010,36.5,36.5,37.0,36.5,65.20K,0.00%
6/29/2010,36.5,36.5,37.0,36.25,19.80K,0.00%
6/30/2010,37.0,36.25,38.0,36.25,133.00K,1.37%
7/1/2010,37.0,37.75,37.75,36.75,52.00K,0.00%
7/2/2010,37.0,37.25,37.25,36.75,10.10K,0.00%
7/5/2010,36.5,37.5,37.5,36.5,18.70K,-1.35%
7/6/2010,36.0,37.0,37.0,36.0,75.00K,-1.37%
7/7/2010,36.0,37.25,37.25,35.25,63.00K,0.00%
7/8/2010,35.5,35.75,37.0,35.5,44.00K,-1.39%
7/9/2010,35.25,36.0,36.0,35.0,105.60K,-0.70%
7/12/2010,35.75,35.0,36.25,35.0,14.20K,1.42%
7/13/2010,35.5,35.25,35.75,35.25,96.50K,-0.70%
7/14/2010,35.5,36.0,36.0,35.25,45.60K,0.00%
7/15/2010,35.0,36.0,36.5,35.0,60.90K,-1.41%
7/16/2010,35.5,35.0,35.75,35.0,71.80K,1.43%
7/19/2010,36.25,35.5,37.0,35.0,70.70K,2.11%
7/20/2010,35.75,36.5,37.0,35.5,10.40K,-1.38%
7/21/2010,36.25,36.0,37.0,35.75,9.90K,1.40%
7/22/2010,36.5,35.75,36.5,35.75,14.10K,0.69%
7/23/2010,36.5,36.0,37.0,35.75,74.50K,0.00%
7/26/2010,36.25,36.0,36.75,35.25,72.20K,-0.68%
7/27/2010,37.0,36.75,37.5,36.5,89.40K,2.07%
7/28/2010,37.25,37.0,37.75,37.0,274.10K,0.68%
7/29/2010,37.0,37.5,38.0,36.75,69.10K,-0.67%
7/30/2010,37.25,37.5,38.0,37.0,31.50K,0.68%
8/2/2010,38.1,37.6,38.5,37.0,160.40K,2.28%
8/3/2010,37.1,38.5,39.4,37.0,92.10K,-2.62%
8/4/2010,38.8,37.0,39.4,37.0,83.70K,4.58%
8/5/2010,38.5,39.0,39.0,36.4,87.80K,-0.77%
8/6/2010,37.6,38.9,39.0,37.5,41.90K,-2.34%
8/9/2010,35.4,36.5,36.5,35.0,21.20K,-5.85%
8/10/2010,38.0,35.5,38.0,35.0,54.10K,7.34%
8/11/2010,38.6,38.4,39.4,38.1,94.80K,1.58%
8/12/2010,37.8,39.0,39.0,37.6,12.00K,-2.07%
8/13/2010,38.5,35.3,38.5,35.2,17.90K,1.85%
8/16/2010,38.0,38.6,38.6,37.8,40.50K,-1.30%
8/17/2010,39.3,38.4,39.7,38.2,303.00K,3.42%
8/18/2010,40.2,40.0,42.0,39.5,365.30K,2.29%
8/20/2010,40.0,40.0,40.7,40.0,127.70K,-0.50%
8/23/2010,40.9,40.0,41.5,39.9,197.40K,2.25%
8/25/2010,40.8,41.5,42.0,40.0,1.07M,-0.24%
8/27/2010,42.1,41.5,43.0,41.5,218.90K,3.19%
8/30/2010,41.9,41.0,42.5,41.0,197.10K,-0.48%
8/31/2010,42.1,41.9,43.0,41.9,66.90K,0.48%
9/1/2010,41.1,40.3,42.0,40.3,25.60K,-2.38%
9/2/2010,45.0,42.0,45.2,41.5,1.49M,9.49%
9/3/2010,48.6,46.5,49.3,46.5,1.98M,8.00%
9/6/2010,47.0,50.0,50.0,46.8,317.10K,-3.29%
9/7/2010,47.0,47.0,48.0,46.5,65.60K,0.00%
9/8/2010,46.8,48.0,48.5,45.0,57.50K,-0.43%
9/9/2010,45.7,47.5,47.9,45.6,17.20K,-2.35%
9/13/2010,44.5,45.7,47.5,44.0,142.90K,-2.63%
9/14/2010,45.5,44.0,46.0,44.0,73.30K,2.25%
9/15/2010,45.9,45.0,46.5,43.0,197.90K,0.88%
9/16/2010,47.0,46.0,47.8,45.9,194.80K,2.40%
9/17/2010,47.0,47.0,48.5,46.1,116.90K,0.00%
9/20/2010,47.2,46.1,47.9,45.5,110.30K,0.43%
9/21/2010,48.1,47.0,48.4,47.0,378.20K,1.91%
9/23/2010,47.1,48.1,49.5,45.5,38.10K,-2.08%
9/24/2010,46.3,48.0,48.0,45.7,54.90K,-1.70%
9/27/2010,46.5,46.8,47.9,46.4,180.90K,0.43%
9/28/2010,45.6,46.5,47.0,45.0,43.80K,-1.94%
9/29/2010,46.3,45.0,46.8,45.0,524.20K,1.54%
9/30/2010,46.1,46.4,47.0,45.5,46.90K,-0.43%
10/1/2010,46.8,45.5,47.0,45.0,124.00K,1.52%
10/4/2010,46.5,47.0,47.5,45.5,30.90K,-0.64%
10/5/2010,46.0,46.0,47.5,45.0,85.60K,-1.08%
10/6/2010,44.2,45.1,46.9,44.0,18.70K,-3.91%
10/7/2010,45.8,44.5,46.0,43.5,173.20K,3.62%
10/8/2010,45.9,44.1,46.5,43.7,48.40K,0.22%
10/11/2010,45.2,46.9,47.0,44.8,8.60K,-1.53%
10/12/2010,43.7,45.0,45.0,42.4,19.50K,-3.32%
10/13/2010,44.5,42.1,46.0,40.1,38.00K,1.83%
10/14/2010,46.8,45.0,47.0,44.9,323.90K,5.17%
10/15/2010,46.2,44.0,46.9,43.5,33.10K,-1.28%
10/18/2010,46.0,46.9,47.0,44.4,22.20K,-0.43%
10/19/2010,46.0,46.6,47.0,45.0,27.40K,0.00%
10/20/2010,46.2,46.2,47.0,45.1,4.70K,0.43%
10/21/2010,45.2,45.1,46.4,44.0,10.30K,-2.16%
10/25/2010,44.5,44.5,44.6,44.4,52.00K,-1.55%
10/26/2010,45.5,44.5,46.0,44.2,22.80K,2.25%
10/27/2010,45.8,44.1,46.0,44.1,81.00K,0.66%
10/28/2010,45.2,45.0,46.0,44.8,22.90K,-1.31%
10/29/2010,45.0,45.8,46.0,44.2,73.90K,-0.44%
11/1/2010,46.0,45.3,46.4,45.0,93.60K,2.22%
11/2/2010,46.9,46.0,47.0,46.0,113.80K,1.96%
11/3/2010,45.9,47.0,47.8,45.6,52.30K,-2.13%
11/4/2010,46.1,46.5,47.0,46.0,19.50K,0.44%
11/8/2010,46.0,46.5,46.5,45.8,60.60K,-0.22%
11/9/2010,45.5,46.5,47.0,45.0,33.00K,-1.09%
11/10/2010,45.1,45.1,45.8,45.0,7.30K,-0.88%
11/11/2010,46.0,46.0,46.0,45.9,29.90K,2.00%
11/12/2010,45.4,46.0,46.5,45.2,2.00K,-1.30%
11/15/2010,45.1,45.5,45.5,44.2,34.70K,-0.66%
11/16/2010,45.9,45.0,46.0,44.4,141.40K,1.77%
11/18/2010,45.8,46.0,46.5,45.0,9.90K,-0.22%
11/22/2010,46.1,46.0,47.0,45.5,209.90K,0.66%
11/23/2010,46.9,45.2,48.0,45.0,227.50K,1.74%
11/24/2010,47.4,47.5,48.0,45.5,127.10K,1.07%
11/25/2010,45.8,46.9,46.9,45.7,1.60K,-3.38%
11/26/2010,45.5,45.5,45.8,45.5,5.00K,-0.66%
11/29/2010,45.0,45.5,46.9,44.0,9.40K,-1.10%
11/30/2010,45.1,45.2,47.5,45.0,132.30K,0.22%
12/1/2010,45.2,45.0,46.0,45.0,31.20K,0.22%
12/2/2010,46.0,46.8,47.0,45.0,29.20K,1.77%
12/3/2010,48.1,46.0,48.8,45.9,429.20K,4.57%
12/6/2010,47.1,48.0,49.0,47.0,74.60K,-2.08%
12/7/2010,47.2,48.0,49.0,47.2,27.20K,0.21%
12/8/2010,47.4,47.5,48.0,47.0,39.90K,0.42%
12/9/2010,47.7,47.2,48.4,47.2,145.40K,0.63%
12/10/2010,47.5,47.1,48.4,47.0,26.00K,-0.42%
12/13/2010,47.8,47.0,48.2,47.0,66.90K,0.63%
12/14/2010,47.2,47.5,47.5,47.2,0.20K,-1.26%
12/15/2010,47.5,47.0,47.5,47.0,70.90K,0.64%
12/16/2010,47.0,46.1,47.6,46.1,195.90K,-1.05%
12/17/2010,47.0,46.5,47.4,46.2,2.00K,0.00%
12/21/2010,47.7,47.0,48.0,47.0,9.40K,1.49%
12/22/2010,48.0,47.0,49.0,47.0,40.80K,0.63%
12/23/2010,47.1,48.5,48.5,47.0,25.00K,-1.88%
12/24/2010,48.0,47.1,48.0,47.0,6.90K,1.91%
12/27/2010,48.2,47.1,49.0,47.0,89.20K,0.42%
12/28/2010,48.5,48.0,49.0,47.1,33.50K,0.62%
12/29/2010,50.0,48.0,51.0,48.0,288.60K,3.09%
12/30/2010,49.5,51.0,51.0,48.1,69.90K,-1.00%
12/31/2010,49.0,50.0,50.0,48.0,53.50K,-1.01%
1/3/2011,48.0,50.0,50.0,48.0,22.50K,-2.04%
1/4/2011,48.2,48.0,49.5,48.0,1.10K,0.42%
1/5/2011,47.4,49.0,49.5,47.4,24.90K,-1.66%
1/6/2011,47.2,48.0,48.0,47.0,18.90K,-0.42%
1/7/2011,47.9,47.9,47.9,47.1,13.00K,1.48%
1/10/2011,47.5,48.0,48.0,47.0,12.80K,-0.84%
1/11/2011,50.6,48.0,51.0,48.0,222.90K,6.53%
1/12/2011,48.7,50.0,50.9,48.1,21.20K,-3.75%
1/13/2011,48.7,48.0,49.0,47.7,7.40K,0.00%
1/14/2011,49.4,49.4,49.4,49.4,0.10K,1.44%
1/17/2011,48.0,48.0,48.5,48.0,274.20K,-2.83%
1/18/2011,49.6,48.0,50.5,48.0,457.30K,3.33%
1/20/2011,53.9,50.7,54.0,50.0,281.50K,8.67%
1/21/2011,56.1,54.0,58.0,50.5,651.00K,4.08%
1/24/2011,56.1,57.8,60.0,55.0,211.90K,0.00%
1/25/2011,55.1,57.0,58.0,54.0,26.00K,-1.78%
1/26/2011,58.8,55.1,60.0,54.0,213.30K,6.72%
1/27/2011,57.0,59.0,59.9,55.0,40.10K,-3.06%
1/28/2011,55.4,57.1,57.1,55.0,100.90K,-2.81%
1/31/2011,55.1,56.5,57.0,54.6,265.70K,-0.54%
2/1/2011,55.9,56.0,57.0,54.6,81.20K,1.45%
2/2/2011,57.7,54.6,59.9,54.6,322.80K,3.22%
2/3/2011,61.7,58.0,63.0,55.0,343.20K,6.93%
2/7/2011,61.9,60.0,64.5,60.0,108.30K,0.32%
2/8/2011,61.8,61.0,63.0,59.2,50.70K,-0.16%
2/9/2011,59.3,62.0,62.0,59.0,22.00K,-4.05%
2/10/2011,63.1,60.8,63.9,60.8,355.20K,6.41%
2/11/2011,61.8,64.0,64.0,61.0,57.30K,-2.06%
2/14/2011,62.0,62.0,63.4,59.0,57.00K,0.32%
2/15/2011,59.9,58.0,62.0,58.0,15.10K,-3.39%
2/18/2011,59.0,60.0,62.0,58.3,26.10K,-1.50%
2/21/2011,59.4,58.2,60.0,58.0,19.80K,0.68%
2/22/2011,58.6,57.1,59.5,57.0,30.40K,-1.35%
2/23/2011,60.3,56.3,61.5,56.3,163.80K,2.90%
2/24/2011,60.1,61.0,62.8,59.0,217.30K,-0.33%
2/25/2011,58.6,59.9,59.9,58.1,19.70K,-2.50%
2/28/2011,58.4,59.0,60.0,58.0,77.20K,-0.34%
3/1/2011,58.7,58.4,60.0,57.2,6.00K,0.51%
3/3/2011,57.0,58.7,59.0,56.2,30.60K,-2.90%
3/4/2011,56.9,56.3,58.7,56.2,12.80K,-0.18%
3/7/2011,57.8,58.0,59.9,57.0,71.70K,1.58%
3/8/2011,57.1,57.1,57.9,56.9,26.60K,-1.21%
3/9/2011,55.3,57.1,58.0,55.0,8.90K,-3.15%
3/10/2011,57.4,56.0,58.0,56.0,25.50K,3.80%
3/11/2011,55.3,57.0,57.0,55.0,13.70K,-3.66%
3/14/2011,52.0,56.0,56.0,51.6,34.90K,-5.97%
3/15/2011,52.0,51.9,52.0,51.5,13.60K,0.00%
3/16/2011,54.4,55.5,55.5,53.1,34.90K,4.62%
3/17/2011,57.0,55.0,57.9,55.0,38.00K,4.78%
3/18/2011,55.1,55.2,55.2,55.0,18.50K,-3.33%
3/21/2011,54.0,55.0,55.0,54.0,8.20K,-2.00%
3/22/2011,54.5,55.0,55.0,54.0,4.10K,0.93%
3/23/2011,57.7,54.5,58.0,54.5,287.70K,5.87%
3/24/2011,58.0,58.5,59.0,56.0,27.20K,0.52%
3/25/2011,58.3,58.0,59.0,57.5,91.40K,0.52%
3/28/2011,58.0,58.0,59.0,56.3,8.80K,-0.51%
3/29/2011,57.0,56.2,57.0,55.0,13.50K,-1.72%
3/30/2011,57.5,57.0,59.0,54.3,16.10K,0.88%
3/31/2011,57.0,54.8,58.5,54.8,35.40K,-0.87%
4/1/2011,58.3,55.4,58.5,55.4,19.90K,2.28%
4/4/2011,57.1,58.5,59.6,57.0,49.30K,-2.06%
4/5/2011,56.0,58.8,58.9,56.0,7.70K,-1.93%
4/6/2011,56.9,57.0,57.0,56.9,1.40K,1.61%
4/7/2011,56.2,55.8,56.8,55.0,21.50K,-1.23%
4/8/2011,57.0,56.8,57.8,56.8,18.90K,1.42%
4/11/2011,57.0,57.0,57.9,55.2,12.70K,0.00%
4/12/2011,57.3,57.9,58.0,56.4,21.40K,0.53%
4/18/2011,56.7,60.0,60.0,56.0,2.90K,-1.05%
4/19/2011,55.8,56.0,58.0,55.0,155.90K,-1.59%
4/20/2011,56.1,60.0,60.0,55.5,10.00K,0.54%
4/21/2011,56.9,55.5,57.0,55.5,6.20K,1.43%
4/25/2011,55.5,57.5,57.9,55.5,3.40K,-2.46%
4/26/2011,59.0,60.0,60.0,56.0,596.20K,6.31%
4/27/2011,58.5,59.1,60.0,58.0,6.70K,-0.85%
4/28/2011,58.7,61.0,61.0,57.8,76.20K,0.34%
4/29/2011,57.4,61.0,61.0,56.6,2.00K,-2.21%
5/3/2011,55.1,56.1,57.9,55.0,6.00K,-4.01%
5/4/2011,55.1,55.1,56.0,54.6,14.80K,0.00%
5/5/2011,57.6,59.0,59.0,56.0,33.00K,4.54%
5/6/2011,57.9,61.0,61.0,57.2,3.20K,0.52%
5/9/2011,57.0,61.0,61.0,56.6,14.90K,-1.55%
5/10/2011,58.8,58.0,60.0,57.3,85.20K,3.16%
5/11/2011,56.9,57.0,57.0,56.8,1.00K,-3.23%
5/12/2011,56.9,61.0,61.0,56.1,18.90K,0.00%
5/13/2011,56.5,61.0,61.0,56.5,5.40K,-0.70%
5/16/2011,56.5,56.5,56.9,56.2,10.60K,0.00%
5/19/2011,58.3,57.0,59.0,56.4,26.00K,3.19%
5/20/2011,58.5,59.0,60.0,58.0,7.70K,0.34%
5/23/2011,57.0,61.0,61.0,56.0,11.00K,-2.56%
5/24/2011,56.7,58.0,58.0,56.5,29.10K,-0.53%
5/25/2011,57.8,56.5,59.0,56.3,31.50K,1.94%
5/26/2011,56.7,58.0,59.0,56.2,54.10K,-1.90%
5/27/2011,58.3,61.0,61.0,57.5,3.00K,2.82%
5/30/2011,56.6,57.9,58.5,56.1,18.30K,-2.92%
5/31/2011,57.8,61.0,61.0,57.8,0.70K,2.12%
6/1/2011,57.0,57.0,57.8,57.0,3.10K,-1.38%
6/2/2011,57.2,56.3,57.9,56.1,19.00K,0.35%
6/3/2011,57.7,57.7,58.4,56.4,11.50K,0.87%
6/6/2011,57.0,57.5,58.5,57.0,20.00K,-1.21%
6/7/2011,57.1,61.0,61.0,56.0,10.20K,0.18%
6/8/2011,56.0,57.0,57.0,56.0,3.80K,-1.93%
6/9/2011,56.6,56.8,56.9,56.0,3.80K,1.07%
